factor,level,runs,completed,success,semi_success,unsuccessful,success_rate_completed,route_valid_rate_completed,mean_turns_completed,mean_runtime_sec_completed
agent_a_type,tinyllama,310,240,211,2,27,0.8791666666666667,0.8875,12.595833333333333,879.3709649889953
agent_a_type,userlm,1009,317,280,13,24,0.8832807570977917,0.9242902208201893,11.858044164037855,529.5999578484143
agent_b_short,Phi-3 Mini,262,108,93,3,12,0.8611111111111112,0.8888888888888888,12.175925925925926,957.2172175165723
agent_b_short,Qwen2.5 0.5B,260,110,95,4,11,0.8636363636363636,0.9,12.4,339.2674096493929
agent_b_short,Qwen2.5 1.5B,298,144,130,3,11,0.9027777777777778,0.9236111111111112,12.118055555555555,423.16287524156604
agent_b_short,Qwen2.5 7B,239,85,76,2,7,0.8941176470588236,0.9176470588235294,11.75294117647059,1452.4257978992455
agent_b_short,TinyLlama 1.1B,260,110,97,3,10,0.8818181818181818,0.9090909090909091,12.354545454545455,489.4699711441983
agent_b_size,large,239,85,76,2,7,0.8941176470588236,0.9176470588235294,11.75294117647059,1452.4257978992455
agent_b_size,medium,560,252,223,6,23,0.8849206349206349,0.9087301587301587,12.142857142857142,652.0433076451401
agent_b_size,small,520,220,192,7,21,0.8727272727272727,0.9045454545454545,12.377272727272727,414.3686903967956
scenario_key,airport_connection,196,46,46,0,0,1.0,1.0,10.804347826086957,906.2627625096887
scenario_key,crowded_event_exit,198,68,57,1,10,0.8382352941176471,0.8529411764705882,11.632352941176471,621.0248327190108
scenario_key,hospital_appointment,60,30,29,0,1,0.9666666666666667,0.9666666666666667,9.9,506.1870782339014
scenario_key,late_event,66,16,16,0,0,1.0,1.0,10.5,492.60769788597827
scenario_key,midday_transfer,212,106,92,2,12,0.8679245283018868,0.8867924528301887,12.669811320754716,674.8375703050439
scenario_key,morning_peak_cross_city,527,281,251,2,28,0.8932384341637011,0.900355871886121,12.686832740213523,697.9364361077551
scenario_key,multi_destination_errands,60,10,0,10,0,0.0,1.0,12.1,429.4186023161281
persona_key,accessibility_rider,74,4,3,1,0,0.75,1.0,12.0,374.2484467147151
persona_key,crowd_averse_rider,266,116,104,2,10,0.896551724137931,0.9137931034482759,12.293103448275861,703.4076507675375
persona_key,delay_sensitive_traveler,284,154,131,12,11,0.8506493506493507,0.9285714285714286,11.844155844155845,669.8656448147799
persona_key,focused_commuter,347,145,135,0,10,0.9310344827586207,0.9310344827586207,12.324137931034484,731.5615124374845
persona_key,multi_stop_errand_runner,76,26,26,0,0,1.0,1.0,11.153846153846153,522.4894829557833
persona_key,risk_averse_novice,272,112,92,0,20,0.8214285714285714,0.8214285714285714,12.5625,651.9596589076007
run_type,audio_variant,659,278,217,10,51,0.7805755395683454,0.8165467625899281,13.647482014388489,695.5123155381146
run_type,text_only,660,279,274,5,0,0.982078853046595,1.0,10.709677419354838,665.1605538197502
speech_performance_band,ceiling,448,186,186,0,0,1.0,1.0,12.43010752688172,759.3191918834733
speech_performance_band,challenging,293,143,125,14,4,0.8741258741258742,0.972027972027972,12.72027972027972,726.1168912162807
speech_performance_band,floor,282,102,54,1,47,0.5294117647058824,0.5392156862745098,11.862745098039216,461.26420313057685
speech_performance_band,nominal,296,126,126,0,0,1.0,1.0,11.436507936507937,689.0093998550252
speech_pattern_key,clean,448,186,186,0,0,1.0,1.0,12.43010752688172,759.3191918834733
speech_pattern_key,hesitant,293,143,125,14,4,0.8741258741258742,0.972027972027972,12.72027972027972,726.1168912162807
speech_pattern_key,mostly_clean,296,126,126,0,0,1.0,1.0,11.436507936507937,689.0093998550252
speech_pattern_key,severe_channel,282,102,54,1,47,0.5294117647058824,0.5392156862745098,11.862745098039216,461.26420313057685
agent_a_audio_persona,barely_understandable_caller,282,102,54,1,47,0.5294117647058824,0.5392156862745098,11.862745098039216,461.26420313057685
agent_a_audio_persona,degraded_caller,293,143,125,14,4,0.8741258741258742,0.972027972027972,12.72027972027972,726.1168912162807
agent_a_audio_persona,high_clarity_caller,448,186,186,0,0,1.0,1.0,12.43010752688172,759.3191918834733
agent_a_audio_persona,neutral_caller,296,126,126,0,0,1.0,1.0,11.436507936507937,689.0093998550252
agent_b_audio_persona,barely_understandable_operator,282,102,54,1,47,0.5294117647058824,0.5392156862745098,11.862745098039216,461.26420313057685
agent_b_audio_persona,clear_operator,296,126,126,0,0,1.0,1.0,11.436507936507937,689.0093998550252
agent_b_audio_persona,degraded_operator,293,143,125,14,4,0.8741258741258742,0.972027972027972,12.72027972027972,726.1168912162807
agent_b_audio_persona,high_clarity_operator,448,186,186,0,0,1.0,1.0,12.43010752688172,759.3191918834733
configured_tts_engine,piper,1319,557,491,15,51,0.881508078994614,0.9084380610412927,12.175942549371634,680.3091889323272
configured_asr_engine,faster_whisper,688,168,156,11,1,0.9285714285714286,0.9940476190476191,10.732142857142858,661.2027737953474
configured_asr_engine,vosk,631,389,335,4,50,0.8611825192802056,0.87146529562982,12.79948586118252,688.560802667578
asr_search_width,1,282,102,54,1,47,0.5294117647058824,0.5392156862745098,11.862745098039216,461.26420313057685
asr_search_width,6,293,143,125,14,4,0.8741258741258742,0.972027972027972,12.72027972027972,726.1168912162807
asr_search_width,11,296,126,126,0,0,1.0,1.0,11.436507936507937,689.0093998550252
asr_search_width,16,448,186,186,0,0,1.0,1.0,12.43010752688172,759.3191918834733
model_param_key,greedy,847,351,309,13,29,0.8803418803418803,0.9173789173789174,12.216524216524217,669.3147983347603
model_param_key,nucleus0.9,202,136,126,0,10,0.9264705882352942,0.9264705882352942,12.286764705882353,768.0515390904501
model_param_key,temp0.7,270,70,56,2,12,0.8,0.8285714285714286,11.757142857142858,564.9673529072016
objective_mode,shortest_valid_route_with_constraints,1319,557,491,15,51,0.881508078994614,0.9084380610412927,12.175942549371634,680.3091889323272
