agent_a,agent_b,total,text_success_semi_fail,text_success_rate,audio_success_semi_fail,audio_success_rate,audio_text_delta_pp,text_mean_turns,audio_mean_turns
tinyllama,Phi-3 Mini,22,11/0/0,1.0,8/1/2,0.7272727272727273,-27.27272727272727,10.636363636363637,12.818181818181818
tinyllama,Qwen2.5 0.5B,22,11/0/0,1.0,8/0/3,0.7272727272727273,-27.27272727272727,10.636363636363637,14.0
tinyllama,Qwen2.5 1.5B,22,11/0/0,1.0,9/0/2,0.8181818181818182,-18.181818181818176,10.636363636363637,14.181818181818182
tinyllama,Qwen2.5 7B,22,11/0/0,1.0,9/0/2,0.8181818181818182,-18.181818181818176,10.636363636363637,12.636363636363637
tinyllama,TinyLlama 1.1B,22,11/0/0,1.0,9/0/2,0.8181818181818182,-18.181818181818176,10.636363636363637,14.545454545454545
userlm,Phi-3 Mini,22,11/0/0,1.0,8/0/3,0.7272727272727273,-27.27272727272727,10.454545454545455,14.090909090909092
userlm,Qwen2.5 0.5B,22,11/0/0,1.0,8/1/2,0.7272727272727273,-27.27272727272727,10.454545454545455,13.909090909090908
userlm,Qwen2.5 1.5B,22,11/0/0,1.0,9/0/2,0.8181818181818182,-18.181818181818176,10.636363636363637,14.454545454545455
userlm,Qwen2.5 7B,22,11/0/0,1.0,9/0/2,0.8181818181818182,-18.181818181818176,10.636363636363637,12.363636363636363
userlm,TinyLlama 1.1B,22,11/0/0,1.0,9/0/2,0.8181818181818182,-18.181818181818176,10.454545454545455,14.454545454545455
