agent_a_type,model_slot,agent_b_llm_size,agent_b_model_role,agent_b_models,planned_configuration_count,completed_configuration_count,successful_configuration_count,coverage_percentage,active_observed_condition_count,active_planned_condition_count,active_run_ids,status,agent_a_model,agent_a_approximate_memory_gb,agent_b_approximate_memory_gb,combined_approximate_memory_gb,system_viability
tinyllama,small1,small,primary,llama3.2:1b,26,0,0,0.0,0,0,,missing,TinyLlama/TinyLlama-1.1B-Chat-v1.0,4.5,3.0,7.5,not_viable
tinyllama,small2,small,model_comparison,qwen2.5:1.5b,26,0,0,0.0,0,0,,missing,TinyLlama/TinyLlama-1.1B-Chat-v1.0,4.5,4.0,8.5,not_viable
tinyllama,medium1,medium,primary,llama3.2:3b,26,0,0,0.0,0,0,,missing,TinyLlama/TinyLlama-1.1B-Chat-v1.0,4.5,6.0,10.5,not_viable
tinyllama,medium2,medium,model_comparison,phi3:mini,26,0,0,0.0,0,0,,missing,TinyLlama/TinyLlama-1.1B-Chat-v1.0,4.5,7.0,11.5,not_viable
tinyllama,large2,large,model_comparison,qwen2.5:7b,26,0,0,0.0,0,0,,missing,TinyLlama/TinyLlama-1.1B-Chat-v1.0,4.5,10.0,14.5,not_viable
tinyllama,large1,large,primary,llama3.1:8b,26,0,0,0.0,0,0,,missing,TinyLlama/TinyLlama-1.1B-Chat-v1.0,4.5,12.0,16.5,not_viable
userlm,small1,small,primary,llama3.2:1b,26,0,0,0.0,0,0,,missing,microsoft/UserLM-8b,34.0,3.0,37.0,not_viable
userlm,small2,small,model_comparison,qwen2.5:1.5b,26,0,0,0.0,17,78,20260705_123702_b-n0026;20260706_052055_b-n0026;20260708_130523_b-n0026,active,microsoft/UserLM-8b,34.0,4.0,38.0,not_viable
userlm,medium1,medium,primary,llama3.2:3b,26,0,0,0.0,0,0,,missing,microsoft/UserLM-8b,34.0,6.0,40.0,not_viable
userlm,medium2,medium,model_comparison,phi3:mini,26,0,0,0.0,0,26,20260706_052215_b-n0026,active,microsoft/UserLM-8b,34.0,7.0,41.0,not_viable
userlm,large2,large,model_comparison,qwen2.5:7b,26,0,0,0.0,0,0,,missing,microsoft/UserLM-8b,34.0,10.0,44.0,not_viable
userlm,large1,large,primary,llama3.1:8b,26,0,0,0.0,0,0,,missing,microsoft/UserLM-8b,34.0,12.0,46.0,not_viable
